"theta0=10",0.0437443,0.043727,0.0436749,0.043588,0.0434665,0.0433102,0.0431191,0.0428933,0.0426328,0.0423374,0.0420073,0.0416424,0.0412427,0.0408082,0.0403388,0.0398346,0.0392955,0.0387215,0.0381126,0.0374688,0.03679,0.0360762,0.0353275,0.0345436,0.0337248,0.0328708,0.0319817,0.0310574,0.030098,0.0291033,0.0280734,0.0270081,0.0259075,0.0247715,0.0236001,0.0223933,0.0211509,0.0198729,0.0185594,0.0172102,0.0158253,0.0144046,0.0129481,0.0114557,0.00992746,0.0083632,0.00676289,0.00512648,0.00345391,0.0017451,0
"theta0=11",0.0481445,0.0481254,0.0480682,0.0479728,0.0478392,0.0476675,0.0474575,0.0472094,0.0469231,0.0465985,0.0462357,0.0458347,0.0453954,0.0449179,0.044402,0.0438478,0.0432553,0.0426243,0.041955,0.0412472,0.040501,0.0397163,0.038893,0.0380312,0.0371308,0.0361917,0.0352139,0.0341974,0.0331422,0.032048,0.0309151,0.0297432,0.0285323,0.0272824,0.0259934,0.0246652,0.0232979,0.0218913,0.0204453,0.01896,0.0174351,0.0158708,0.0142668,0.0126232,0.0109398,0.00921655,0.00745341,0.00565026,0.00380704,0.00192365,0
"theta0=12",0.0525521,0.0525313,0.052469,0.052365,0.0522194,0.0520323,0.0518035,0.0515331,0.0512211,0.0508674,0.0504721,0.0500351,0.0495563,0.0490358,0.0484736,0.0478695,0.0472237,0.0465359,0.0458063,0.0450348,0.0442212,0.0433657,0.042468,0.0415283,0.0405464,0.0395223,0.038456,0.0373473,0.0361962,0.0350027,0.0337667,0.0324881,0.0311669,0.0298029,0.0283962,0.0269466,0.0254541,0.0239185,0.0223399,0.0207181,0.0190529,0.0173444,0.0155925,0.013797,0.0119578,0.0100749,0.00814806,0.00617729,0.00416243,0.00210337,0
"theta0=13",0.0569678,0.0569453,0.0568778,0.0567653,0.0566079,0.0564054,0.0561578,0.0558653,0.0555277,0.055145,0.0547172,0.0542442,0.0537261,0.0531629,0.0525544,0.0519006,0.0512016,0.0504572,0.0496674,0.0488322,0.0479515,0.0470252,0.0460534,0.0450359,0.0439726,0.0428636,0.0417087,0.0405079,0.0392611,0.0379682,0.0366292,0.0352438,0.0338122,0.0323341,0.0308095,0.0292383,0.0276204,0.0259557,0.024244,0.0224853,0.0206794,0.0188263,0.0169258,0.0149777,0.0129821,0.0109386,0.00884727,0.00670788,0.0045203,0.00228439,0
"theta0=14",0.0613923,0.0613681,0.0612955,0.0611745,0.0610052,0.0607874,0.0605212,0.0602065,0.0598434,0.0594318,0.0589716,0.0584629,0.0579057,0.0572997,0.0566452,0.0559419,0.0551898,0.0543889,0.0535391,0.0526404,0.0516926,0.0506958,0.0496499,0.0485547,0.0474103,0.0462164,0.0449731,0.0436803,0.0423378,0.0409455,0.0395034,0.0380113,0.0364692,0.0348769,0.0332343,0.0315413,0.0297977,0.0280035,0.0261584,0.0242624,0.0223154,0.020317,0.0182673,0.0161661,0.0140131,0.0118083,0.00955145,0.00724237,0.00488089,0.00246683,0
"theta0=15",0.0658262,0.0658004,0.0657227,0.0655933,0.0654121,0.0651791,0.0648943,0.0645576,0.0641691,0.0637287,0.0632363,0.062692,0.0620957,0.0614472,0.0607467,0.059994,0.0591891,0.0583318,0.0574222,0.0564602,0.0554456,0.0543784,0.0532585,0.0520859,0.0508603,0.0495818,0.0482501,0.0468653,0.0454271,0.0439355,0.0423904,0.0407915,0.0391388,0.0374322,0.0356714,0.0338564,0.0319869,0.0300629,0.0280841,0.0260504,0.0239616,0.0218175,0.0196179,0.0173627,0.0150516,0.0126845,0.010261,0.0077811,0.00524443,0.00265081,0
"theta0=16",0.0702704,0.0702429,0.0701602,0.0700223,0.0698293,0.0695812,0.0692779,0.0689193,0.0685055,0.0680364,0.0675119,0.0669321,0.0662969,0.0656061,0.0648599,0.0640579,0.0632003,0.0622869,0.0613177,0.0602925,0.0592112,0.0580738,0.0568801,0.0556301,0.0543236,0.0529605,0.0515406,0.0500639,0.0485302,0.0469393,0.0452911,0.0435854,0.0418221,0.040001,0.0381219,0.0361846,0.034189,0.0321348,0.0300219,0.02785,0.0256189,0.0233284,0.0209783,0.0185683,0.0160981,0.0135676,0.0109765,0.00832442,0.00561118,0.00283647,0
"theta0=17",0.0747255,0.0746963,0.0746085,0.0744623,0.0742576,0.0739944,0.0736726,0.0732923,0.0728533,0.0723556,0.0717993,0.0711841,0.0705102,0.0697773,0.0689854,0.0681344,0.0672243,0.066255,0.0652263,0.0641381,0.0629904,0.0617829,0.0605157,0.0591885,0.0578011,0.0563536,0.0548456,0.0532771,0.0516478,0.0499577,0.0482064,0.0463939,0.0445199,0.0425842,0.0405866,0.0385269,0.0364048,0.0342201,0.0319726,0.029662,0.0272881,0.0248505,0.0223491,0.0197834,0.0171533,0.0144583,0.0116982,0.00887269,0.00598138,0.00302394,0
"theta0=18",0.0791922,0.0791613,0.0790686,0.0789141,0.0786977,0.0784195,0.0780794,0.0776773,0.0772133,0.0766872,0.0760991,0.0754488,0.0747362,0.0739614,0.0731241,0.0722243,0.071262,0.0702368,0.0691489,0.067998,0.066784,0.0655067,0.064166,0.0627618,0.0612938,0.059762,0.0581661,0.0565058,0.0547811,0.0529918,0.0511375,0.0492181,0.0472333,0.0451828,0.0430666,0.0408842,0.0386353,0.0363198,0.0339373,0.0314875,0.0289701,0.0263847,0.0237311,0.0210089,0.0182176,0.0153571,0.0124267,0.00942629,0.0063553,0.00321335,0
"theta0=19",0.0836713,0.0836387,0.0835411,0.0833783,0.0831503,0.0828572,0.0824988,0.0820752,0.0815863,0.0810319,0.0804122,0.0797269,0.0789759,0.0781593,0.0772769,0.0763285,0.075314,0.0742334,0.0730864,0.071873,0.0705929,0.069246,0.0678321,0.0663511,0.0648027,0.0631867,0.0615029,0.0597511,0.0579311,0.0560425,0.0540852,0.0520588,0.0499632,0.047798,0.0455628,0.0432575,0.0408816,0.0384348,0.0359168,0.0333272,0.0306657,0.0279318,0.0251251,0.0222453,0.0192919,0.0162645,0.0131625,0.0099856,0.00673321,0.00340485,0
